fecha_deteccion;fecha_timeout;operador;proceso;codigo;descripcion;rango_consulta;time_taken_ms;status;status_code
2026-05-06 08:14:25;2026-05-06 03:01:28;CLARO;Terminación;TIMEOUT_31460ms;Timeout: 31,460ms;now-7d;31460;;
2026-05-06 08:14:25;2026-05-06 03:01:28;CLARO;Terminación;TIMEOUT_32139ms;Timeout: 32,139ms;now-7d;32139;;
2026-05-06 08:14:25;2026-05-06 03:01:28;CLARO;Terminación;TIMEOUT_32778ms;Timeout: 32,778ms;now-7d;32778;;
2026-05-06 08:14:25;2026-05-06 03:01:27;CLARO;Terminación;TIMEOUT_33385ms;Timeout: 33,385ms;now-7d;33385;;
2026-05-06 08:14:25;2026-05-06 03:01:27;CLARO;Terminación;TIMEOUT_34066ms;Timeout: 34,066ms;now-7d;34066;;
2026-05-06 08:14:25;2026-05-05 15:31:41;CLARO;Activación Servicios;TIMEOUT_30564ms;Timeout: 30,564ms;now-7d;30564;;
2026-05-06 08:14:25;2026-05-05 14:52:34;CLARO;Activación Servicios;TIMEOUT_38664ms;Timeout: 38,664ms;now-7d;38664;;
2026-05-06 08:14:25;2026-05-05 12:11:39;CLARO;Activación Servicios;TIMEOUT_34367ms;Timeout: 34,367ms;now-7d;34367;;
2026-05-06 08:14:25;2026-05-05 12:11:38;CLARO;Activación Servicios;TIMEOUT_31621ms;Timeout: 31,621ms;now-7d;31621;;
2026-05-06 08:14:25;2026-05-05 12:02:04;CLARO;Cambio ONT;TIMEOUT_31792ms;Timeout: 31,792ms;now-7d;31792;;
2026-05-06 08:14:25;2026-05-05 12:02:04;CLARO;Cambio ONT;TIMEOUT_32407ms;Timeout: 32,407ms;now-7d;32407;;
2026-05-06 08:14:25;2026-05-05 11:31:50;CLARO;Activación Servicios;TIMEOUT_31327ms;Timeout: 31,327ms;now-7d;31327;;
2026-05-06 08:14:25;2026-05-05 11:31:29;CLARO;Activación Servicios;TIMEOUT_38027ms;Timeout: 38,027ms;now-7d;38027;;
2026-05-06 08:14:25;2026-05-05 11:31:20;CLARO;Activación Servicios;TIMEOUT_38530ms;Timeout: 38,530ms;now-7d;38530;;
2026-05-06 08:14:25;2026-05-05 11:02:42;CLARO;Activación Servicios;TIMEOUT_30647ms;Timeout: 30,647ms;now-7d;30647;;
2026-05-06 08:14:25;2026-05-05 11:02:38;CLARO;Activación Servicios;TIMEOUT_38710ms;Timeout: 38,710ms;now-7d;38710;;
2026-05-06 08:14:25;2026-05-05 10:49:48;CLARO;Activación Servicios;TIMEOUT_40578ms;Timeout: 40,578ms;now-7d;40578;;
2026-05-06 08:14:25;2026-05-05 10:49:48;CLARO;Activación Servicios;TIMEOUT_40423ms;Timeout: 40,423ms;now-7d;40423;;
2026-05-06 08:14:25;2026-05-05 10:37:00;CLARO;Activación Servicios;TIMEOUT_34006ms;Timeout: 34,006ms;now-7d;34006;;
2026-05-06 08:14:25;2026-05-05 10:36:59;CLARO;Activación Servicios;TIMEOUT_42359ms;Timeout: 42,359ms;now-7d;42359;;
2026-05-06 08:14:25;2026-05-05 10:36:35;CLARO;Activación Servicios;TIMEOUT_34344ms;Timeout: 34,344ms;now-7d;34344;;
2026-05-06 08:14:25;2026-05-05 10:36:27;CLARO;Activación Servicios;TIMEOUT_32126ms;Timeout: 32,126ms;now-7d;32126;;
2026-05-06 08:14:25;2026-05-05 10:22:48;CLARO;Activación Servicios;TIMEOUT_32861ms;Timeout: 32,861ms;now-7d;32861;;
2026-05-06 08:14:25;2026-05-05 10:22:47;CLARO;Activación Servicios;TIMEOUT_32977ms;Timeout: 32,977ms;now-7d;32977;;
2026-05-06 08:14:25;2026-05-05 09:54:44;CLARO;Activación Servicios;TIMEOUT_33501ms;Timeout: 33,501ms;now-7d;33501;;
2026-05-06 08:14:25;2026-05-05 09:54:44;CLARO;Activación Servicios;TIMEOUT_33403ms;Timeout: 33,403ms;now-7d;33403;;
2026-05-06 08:14:25;2026-05-05 09:17:36;CLARO;Activación Servicios;TIMEOUT_35583ms;Timeout: 35,583ms;now-7d;35583;;
2026-05-06 08:14:25;2026-05-05 09:17:08;CLARO;Activación Servicios;TIMEOUT_39651ms;Timeout: 39,651ms;now-7d;39651;;
2026-05-06 08:14:25;2026-05-05 09:06:20;CLARO;Cambio ONT;TIMEOUT_30576ms;Timeout: 30,576ms;now-7d;30576;;
2026-05-06 08:14:25;2026-05-05 09:06:19;CLARO;Cambio ONT;TIMEOUT_31099ms;Timeout: 31,099ms;now-7d;31099;;
2026-05-06 08:14:25;2026-05-05 08:56:19;CLARO;Activación Servicios;TIMEOUT_33964ms;Timeout: 33,964ms;now-7d;33964;;
2026-05-06 08:14:25;2026-05-05 08:56:19;CLARO;Activación Servicios;TIMEOUT_35361ms;Timeout: 35,361ms;now-7d;35361;;
2026-05-06 08:14:25;2026-05-05 08:42:48;CLARO;Activación Servicios;TIMEOUT_31913ms;Timeout: 31,913ms;now-7d;31913;;
2026-05-06 08:14:25;2026-05-05 08:25:04;CLARO;Activación Servicios;TIMEOUT_41132ms;Timeout: 41,132ms;now-7d;41132;;
2026-05-06 08:14:25;2026-05-05 08:25:04;CLARO;Activación Servicios;TIMEOUT_40959ms;Timeout: 40,959ms;now-7d;40959;;
2026-05-06 08:14:25;2026-05-05 03:15:05;CLARO;Terminación;TIMEOUT_30312ms;Timeout: 30,312ms;now-7d;30312;;
2026-05-06 08:14:25;2026-05-05 03:15:05;CLARO;Terminación;TIMEOUT_31031ms;Timeout: 31,031ms;now-7d;31031;;
2026-05-06 08:14:25;2026-05-05 03:15:05;CLARO;Terminación;TIMEOUT_31519ms;Timeout: 31,519ms;now-7d;31519;;
2026-05-06 08:14:25;2026-05-05 03:13:38;CLARO;Terminación;TIMEOUT_31008ms;Timeout: 31,008ms;now-7d;31008;;
2026-05-06 08:14:25;2026-05-05 03:13:38;CLARO;Terminación;TIMEOUT_31666ms;Timeout: 31,666ms;now-7d;31666;;
2026-05-06 08:14:25;2026-05-05 03:13:38;CLARO;Terminación;TIMEOUT_32268ms;Timeout: 32,268ms;now-7d;32268;;
2026-05-06 08:14:25;2026-05-05 03:13:38;CLARO;Terminación;TIMEOUT_32465ms;Timeout: 32,465ms;now-7d;32465;;
2026-05-06 08:14:25;2026-05-05 03:11:17;CLARO;Terminación;TIMEOUT_30432ms;Timeout: 30,432ms;now-7d;30432;;
2026-05-06 08:14:25;2026-05-05 03:11:17;CLARO;Terminación;TIMEOUT_31017ms;Timeout: 31,017ms;now-7d;31017;;
2026-05-06 08:14:25;2026-05-05 03:11:16;CLARO;Terminación;TIMEOUT_31921ms;Timeout: 31,921ms;now-7d;31921;;
2026-05-06 08:14:25;2026-05-05 03:11:16;CLARO;Terminación;TIMEOUT_32706ms;Timeout: 32,706ms;now-7d;32706;;
2026-05-06 08:14:25;2026-05-05 03:11:16;CLARO;Terminación;TIMEOUT_33453ms;Timeout: 33,453ms;now-7d;33453;;
2026-05-06 08:14:25;2026-05-05 03:11:15;CLARO;Terminación;TIMEOUT_34218ms;Timeout: 34,218ms;now-7d;34218;;
2026-05-06 08:14:25;2026-05-05 03:11:15;CLARO;Terminación;TIMEOUT_34941ms;Timeout: 34,941ms;now-7d;34941;;
2026-05-06 08:14:25;2026-05-05 03:08:32;CLARO;Terminación;TIMEOUT_30571ms;Timeout: 30,571ms;now-7d;30571;;
2026-05-06 08:14:25;2026-05-05 03:08:32;CLARO;Terminación;TIMEOUT_31393ms;Timeout: 31,393ms;now-7d;31393;;
2026-05-06 08:14:25;2026-05-05 03:08:31;CLARO;Terminación;TIMEOUT_32288ms;Timeout: 32,288ms;now-7d;32288;;
2026-05-06 08:14:25;2026-05-05 03:08:31;CLARO;Terminación;TIMEOUT_33094ms;Timeout: 33,094ms;now-7d;33094;;
2026-05-06 08:14:25;2026-05-05 03:08:31;CLARO;Terminación;TIMEOUT_33972ms;Timeout: 33,972ms;now-7d;33972;;
2026-05-06 08:14:25;2026-05-05 03:08:23;CLARO;Terminación;TIMEOUT_32978ms;Timeout: 32,978ms;now-7d;32978;;
2026-05-06 08:14:25;2026-05-05 03:08:23;CLARO;Terminación;TIMEOUT_33652ms;Timeout: 33,652ms;now-7d;33652;;
2026-05-06 08:14:25;2026-05-05 03:07:52;CLARO;Terminación;TIMEOUT_30358ms;Timeout: 30,358ms;now-7d;30358;;
